ls_vitz;ls_energo
511008147;110920359
511008731;111001072
511009012;111101108
511009290;111104169
511009591;111116013
511009818;111116109
511010194;111403011
511010453;111405058
511010518;111405091
511008294;110920466
511008309;110920469
511008464;110920590
511008511;110931081
511008626;110931263
511009143;111104066
511009339;111104183
511009509;111106028
511009606;111116018
511010089;111302077
511010186;111402210
511010364;111403201
511010704;111405294
511010885;111406081
513001769;130608026
513001840;130608124
513002008;130610122
513002260;130801187
513002765;131006066
513002846;131110132
513003559;130805107
513003575;130517092
513003648;130308034
513003876;131405116
513005187;130907070
513005844;130710019
511008634;110931266
511009355;111104199
511009371;111104234
511009525;111107053
511009703;111116044
511010128;111402013
511010487;111405079
511010592;111405174
511010796;111406052
511010916;111406236
511010982;111407054
511011085;111501132
511011310;111905443
511017421;111910209
511017455;110506316
511017861;111910182
511017887;110402158
511017950;111910311
511018443;110904738
511018524;110915250
511018540;110403183
511018639;110524226
511018998;111005113
511019465;110407104
511019481;111101219
511020539;111910052
511020937;110401021
511005725;110904111
511005880;110904197
511005995;110904292
511006153;110904382
511006250;110904411
511006496;110904570
511006917;110904846
511007125;110905107
511007133;110905114
511008375;110920504
511008430;110920536
511013312;111910421
511013516;110904323
511013744;110902305
511014350;110503178
511014407;110904619
511014978;110403008
511015267;110410046
511015916;111001268
511016001;110904707
511016831;110920279
511017853;111910029
511017934;111907025
511018011;110201110
511012308;111910429
511012324;111910437
511012900;110202029
511012968;111910423
511013150;111907011
511013231;110402192
511013493;110901364
511013613;110202199
511013710;110920067
511013930;110904265
511014287;110405248
511014334;110508264
511014562;111907021
511018126;111910026
511018451;110503329
511018621;110401191
511019041;110901332
511019708;111116078
511021080;110905433
511021438;110508127
511021501;110408306
511021624;110920240
511021797;110905267
511022078;111104090
511022450;110904441
511022531;110401074
511018134;110904322
511018817;110920029
511018956;110403128
511019229;110402225
511019601;110508077
511021705;110204132
511022248;110508159
511022353;111702020
511022701;110408182
511022719;111910468
511023155;110403247
511023383;110902271
511023642;110506300
511012976;110403027
511012984;110405208
511013095;110403031
511013168;111907104
511013370;110105889
511013760;111909103
511013883;110407249
511013922;111104122
511014025;110604224
511014279;110403125
511014342;110405055
511014504;110920239
511014724;110901374
511023993;111405052
511024101;110905449
511024119;110904531
511024363;111101206
513000014;130106015
513000331;130108228
513000535;130210068
513000616;130291142
513000674;130308029
513000886;130327118
513001002;130403045
513001183;130501105
513001214;130516004
511015089;110407170
511015623;110905281
511015754;110508305
511016750;110405195
511016784;110404198
511017227;111909019
511017251;111909073
511017879;111910049
511017984;111102239
511018875;110106159
511018964;110920372
511019075;111909043
511019805;110904588
511021886;110920428
511021917;111405212
511022426;110205162
511023236;110404087
511023870;111104281
511023951;110904895
511024127;110920214
511024410;110903146
511024444;110106089
511024478;110903024
513000187;130108133
513000200;130108144
513000226;130108181
511011661;111907172
511011734;111907249
511011823;111908098
511011881;111908165
511011912;111908181
511012104;111910189
511013257;111405033
511013574;110402215
511013590;111101057
511014376;111403094
511014986;110403002
511015275;110508248
511015306;111006154
511003951;110514180
511003993;110514292
511004478;110605076
511004509;110605096
511004533;110605120
511005385;110904005
511005474;110904022
511006030;110904305
511006080;110904325
511006412;110904509
511006632;110904677
511006674;110904713
511006739;110904735
511022612;111910479
511022858;110902005
511022874;110920352
511023333;111101215
511023781;110905318
511023804;111910553
511024800;110920299
511024826;110106209
513000462;130210002
513000470;130210037
513000967;130403004
513001094;130501016
513001175;130501104
511008854;111005079
511008943;111007135
511009038;111101159
511009127;111104032
511009193;111104099
511009258;111104133
511010102;111401217
511010665;111405221
511010746;111406032
511011695;111907203
511011873;111908164
511011899;111908168
511012390;111910543
511010720;111406026
511010940;111407023
511011035;111407109
511011247;111905182
511011360;111905461
511011629;111907113
511011700;111907214
511012146;111910243
511012196;111910287
511012340;111910452
511012764;112321257
511014740;111909032
511015039;111402195
511015144;110202314
511015673;110508393
511015877;111402020
511017031;111910162
511017497;111406087
511017536;110204210
511017594;111909077
511018516;110403256
511018883;110508270
511019342;110903203
511019635;110605090
511020149;110920007
513006191;130905188
513006400;131409080
513006418;131210152
514000279;140108049
514000431;140109109
514000839;140603189
514000952;140606077
514001267;140901188
514001380;140903062
514001398;140903066
514001819;140103096
514002378;140132125
515000395;155027041
515001024;152271048
515001058;152271075
515600149;156003207
516000047;160202153
516000089;160210018
516000526;160310008
516000568;160310059
516000665;160310086
516001069;160509130
516001093;160607181
516001491;160710163
516001904;160710126
516001988;160103109
513001476;130517011
513001905;130610094
513002074;130710068
513002082;130710071
513002121;130711018
513002341;130804120
513002406;130805038
513002618;130905214
513002715;131006023
513002977;131210148
513003096;131409061
513003224;131409141
513003313;130905202
516002031;160210127
516002609;160208130
516002934;160807101
516002976;160610117
516003087;160208014
517004264;190062028
517007018;190062020
518000132;180204009
518000205;180209006
519000046;190102073
519000054;190102116
519000169;190203028
519000452;190211072
511023692;110904415
511023985;110915300
511024151;110904136
513001727;130517211
513001832;130608120
513001890;130610093
513002210;130740110
513002650;130908103
513002969;131202106
513003436;130291201
513003787;131503169
511024460;110514293
511024533;110904218
511025199;111101070
511030908;111407189
513000381;130110024
513000632;130291147
513000789;130309175
513000828;130327057
513001337;130516063
513001400;130516099
513001670;130517187
513001701;130517207
513001785;130608033
513000412;130110104
513000585;130291137
513000608;130291141
513000624;130291146
513001345;130516064
513001426;130516138
513001557;130517057
513002147;130711042
513002422;130805110
513002862;131110139
513003020;131306046
513003088;131409051
513003127;131409091
513002498;130905182
513002749;131006062
513002888;131110148
513003216;131409139
513003567;131109084
513004000;130902118
513004482;130740018
513004979;130108202
513005373;130210083
513005399;131202062
513005616;131503205
513005941;130516148
513004424;130801168
513005080;130905208
513005501;130608167
513005983;131503200
513006036;131503041
513006361;131006041
514000067;140101067
514000376;140108173
514000457;140109193
514000465;140121176
514000504;140132060
514000570;140132110
514000902;140605066
513006141;131409125
513006167;131006065
513006515;131501194
513006549;131503192
513099835;131501204
514000473;140131065
514000732;140135022
514001314;140902013
514001372;140903060
514001966;140103111
